Title,Date1,Date2,Time,Location,Summary,Description,id
Here to Stay: Celebrating 40 Years at the Architecture Archives,"Thursday, February 6, 2025","May 23 - June 1, 2025",All Day,"Hunt Library, Fourth Floor","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.",7307
(Men’s Basketball) Emory vs. Carnegie Mellon,"Friday, February 7, 2025","February 7, 2025",5:30 - 8:30 p.m.,,,(Men’s Basketball) Emory vs. Carnegie Mellon,11870
(Women’s Basketball) Emory vs. Carnegie Mellon,"Friday, February 7, 2025","February 7, 2025",7:30 - 10:30 p.m.,,,(Women’s Basketball) Emory vs. Carnegie Mellon,11869
Black History Month,"Friday, February 7, 2025","February 1 - 28, 2025",All Day,,,"Since 1976, Black History Month has honored the achievements and contributions of black citizens to the culture and life of the United States.",12518
Here to Stay: Celebrating 40 Years at the Architecture Archives,"Friday, February 7, 2025","May 23 - June 1, 2025",All Day,"Hunt Library, Fourth Floor","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.",7307
Black History Month,"Saturday, February 8, 2025","February 1 - 28, 2025",All Day,,,"Since 1976, Black History Month has honored the achievements and contributions of black citizens to the culture and life of the United States.",12518
Here to Stay: Celebrating 40 Years at the Architecture Archives,"Saturday, February 8, 2025","May 23 - June 1, 2025",All Day,"Hunt Library, Fourth Floor","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.",7307
Black History Month,"Sunday, February 9, 2025","February 1 - 28, 2025",All Day,,,"Since 1976, Black History Month has honored the achievements and contributions of black citizens to the culture and life of the United States.",12518
Here to Stay: Celebrating 40 Years at the Architecture Archives,"Sunday, February 9, 2025","May 23 - June 1, 2025",All Day,"Hunt Library, Fourth Floor","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.",7307
(Women’s Basketball) Rochester vs. Carnegie Mellon,"Sunday, February 9, 2025","February 9, 2025",Noon - 3 p.m.,,,(Women’s Basketball) Rochester vs. Carnegie Mellon,11866
(Men’s Basketball) Rochester vs. Carnegie Mellon,"Sunday, February 9, 2025","February 9, 2025",2 - 5 p.m.,,,(Men’s Basketball) Rochester vs. Carnegie Mellon,11865
Black History Month,"Monday, February 10, 2025","February 1 - 28, 2025",All Day,,,"Since 1976, Black History Month has honored the achievements and contributions of black citizens to the culture and life of the United States.",12518
Here to Stay: Celebrating 40 Years at the Architecture Archives,"Monday, February 10, 2025","May 23 - June 1, 2025",All Day,"Hunt Library, Fourth Floor","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.",7307
Black History Month,"Tuesday, February 11, 2025","February 1 - 28, 2025",All Day,,,"Since 1976, Black History Month has honored the achievements and contributions of black citizens to the culture and life of the United States.",12518
Here to Stay: Celebrating 40 Years at the Architecture Archives,"Tuesday, February 11, 2025","May 23 - June 1, 2025",All Day,"Hunt Library, Fourth Floor","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.",7307
Black History Month,"Wednesday, February 12, 2025","February 1 - 28, 2025",All Day,,,"Since 1976, Black History Month has honored the achievements and contributions of black citizens to the culture and life of the United States.",12518
Darwin Day,"Wednesday, February 12, 2025","February 12, 2025",All Day,,,"On International Darwin Day, Agnostics and Atheists celebrate the birthday of Charles Darwin by creatively honoring or cultivating virtues like intellectual bravery, perpetual curiosity, scientific thinking, and hunger for truth.",12495
Here to Stay: Celebrating 40 Years at the Architecture Archives,"Wednesday, February 12, 2025","May 23 - June 1, 2025",All Day,"Hunt Library, Fourth Floor","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.",7307
Carnegie Mellon Chamber Series: An evening with the Akropolis Reed Quintet,"Thursday, February 13, 2025",Today,7:30 - 9:30 p.m.,"Kresge Theatre, College of Fine Arts @ 5000 Forbes...",,,11551
Black History Month,"Thursday, February 13, 2025","February 1 - 28, 2025",All Day,,,"Since 1976, Black History Month has honored the achievements and contributions of black citizens to the culture and life of the United States.",12518
Here to Stay: Celebrating 40 Years at the Architecture Archives,"Thursday, February 13, 2025","May 23 - June 1, 2025",All Day,"Hunt Library, Fourth Floor","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.",7307
(Men’s Basketball) Chicago vs. Carnegie Mellon,"Friday, February 14, 2025","February 14, 2025",5:30 - 8:30 p.m.,,,(Men’s Basketball) Chicago vs. Carnegie Mellon,11855
(Women’s Basketball) Chicago vs. Carnegie Mellon,"Friday, February 14, 2025","February 14, 2025",7:30 - 10:30 p.m.,,,(Women’s Basketball) Chicago vs. Carnegie Mellon,11854
(Women’s Tennis) St. Francis (Pa.) vs. Carnegie Mellon,"Friday, February 14, 2025","February 14, 2025",All Day,,,(Women’s Tennis) St. Francis (Pa.) vs. Carnegie Mellon,11860
Black History Month,"Friday, February 14, 2025","February 1 - 28, 2025",All Day,,,"Since 1976, Black History Month has honored the achievements and contributions of black citizens to the culture and life of the United States.",12518
