Title,Date1,Date2,Time,Location,Summary,Description,id
PhD Student Support Group,"Monday, November 18","November 18, 2024",6:30 - 7:30 p.m. Weekly (to Dec 13),,"The PhD Support Group offers space to confidentially discuss the stressors and challenges of navigating relationships with advisors and peers, academic milestones, academic hazing, low motivation, struggles with self-confidence, and efforts to lead a more balanced life.","The PhD Support Group offers space to confidentially discuss the stressors and challenges of navigating relationships with advisors and peers, academic milestones, academic hazing, low motivation, struggles with self-confidence, and efforts to lead a more balanced life.",10364
(Men’s Basketball) Penn St.-Behrend vs. Carnegie Mellon,"Monday, November 18","November 18, 2024",7 - 10 p.m.,,,(Men’s Basketball) Penn St.-Behrend vs. Carnegie Mellon,11946
Here to Stay: Celebrating 40 Years at the Architecture Archives,"Monday, November 18","May 23 - June 1, 2025",All Day,"Hunt Library, Fourth Floor","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.",7307
"Like, Totally Transformative: CMU in the 1980s","Monday, November 18","Aug. 30 - Nov. 27, 2024",All Day,Hunt Library Gallery,"This University Libraries’ exhibit is a portal to the past, a snapshot of life on campus more than four decades ago as our world began to transform!","This University Libraries’ exhibit is a portal to the past, a snapshot of life on campus more than four decades ago as our world began to transform!",10974
Native American Heritage Month,"Monday, November 18","November 1 - 30, 2024",All Day,,,"Carnegie Mellon University intentionally fosters a community where all voices and views are heard and respected, which includes religious backgrounds and spiritual beliefs.",9919
Nativity Fast,"Monday, November 18","Nov. 15 - Dec. 23, 2024",All Day,,,"  Traditional season of fasting for Eastern Orthodox Christians, in preparation for the Nativity of Christ.    Carnegie Mellon University intentionally fosters a community where all voices and views are heard and respected, which includes religious backgrounds and spiritual beliefs. ",9929
Spring 2025 Registration Week,"Monday, November 18","November 18 - 23, 2024",All Day,,,"  The Academic Calendar includes registration dates, class start dates, add/drop deadlines, exam dates, and more. Doctoral course-sections follow a separate academic calendar.    Calendars for Heinz College, Tepper School of Business graduate courses, CMU-Africa, CMU-Australia, and CMU-Qatar can be found on The HUB Academic Calendar web page. ",12415
17th International Exhibition of Botanical Art & Illustration,"Tuesday, November 19","November 19, 2024",9 a.m. - 5 p.m. M-F (to Dec 17),"Hunt Institute for Botanical Documentation, 5th Fl...",This Hunt Institute for Botanical Documentation exhibition includes 43 artworks by 43 artists representing 19 countries.,This Hunt Institute for Botanical Documentation exhibition includes 43 artworks by 43 artists representing 19 countries.,8447
CMU Pantry Hours,"Tuesday, November 19","November 19, 2024",2 - 5 p.m. Weekly (to Dec 20),CMU Pantry,The CMU Pantry is a free resource that combats food insecurity by providing food assistance to CMU students and their dependents.,The CMU Pantry is a free resource that combats food insecurity by providing food assistance to CMU students and their dependents.,10067
Invisible Fight: Chronic Illness Support Group,"Tuesday, November 19","November 19, 2024",4 - 5 p.m. Weekly (to Dec 17),,"Living with a chronic illness/medical condition can be an isolating experience. This support group is an opportunity for students who experience chronic conditions (i.e. asthma, diabetes, autoimmune diseases, cancer, and others) to gather in community for support and validation.","Living with a chronic illness/medical condition can be an isolating experience. This support group is an opportunity for students who experience chronic conditions (i.e. asthma, diabetes, autoimmune diseases, cancer, and others) to gather in community for support and validation.",10892
